density,Paper,Min Time,Time opt
0.7,810800,821127,654292.8127032269
0.7,839569,806251,680483.9164037625
0.7,800380,794067,648587.8302313235
0.7,843592,833124,677632.4893569171
0.7,833461,798694,676624.4427130694
0.7,864611,827949,705587.8103228756
0.7,811333,824576,664365.3703929629
0.7,809393,762624,640319.2764712868
0.7,864818,826173,690307.7181537312
0.7,849967,820416,685089.6095134421
0.7,769650,771480,630414.4107754434
0.7,827461,840494,662512.398456732
0.7,832877,839101,668547.956137865
0.7,832183,839935,680043.2235309207
0.7,850543,843714,693004.7815155316
0.7,816795,837614,669099.2209609594
0.7,879477,849022,708630.5724702912
0.8,834389,830963,680994.5757418879
0.8,839874,801891,665668.3560278681
0.8,813335,768810,651305.3816708076
0.8,830345,868903,695183.7690020413
0.8,804677,806213,661962.9561917708
0.8,810442,781919,656760.4495093515
0.8,849720,836893,688680.4760887198
0.8,839606,819163,682388.2379183229
0.8,809111,823207,654464.7830271883
0.8,811261,878095,671094.6253296195
0.8,855447,789723,687968.1991749884
0.8,860518,827693,689580.9764586003
0.8,811608,769909,648486.2089159007
0.8,816058,792012,654292.8127032269
0.8,846434,795672,680483.9164037625
0.8,807373,812355,648587.8302313235
0.8,845628,855902,677632.4893569171
0.8,830497,809306,676624.4427130694
0.8,866458,845609,705587.8103228756
0.8,820003,808614,664365.3703929629
0.8,813367,756694,640319.2764712868
0.8,866845,799473,690307.7181537312
0.8,853252,807195,685089.6095134421
0.8,784075,751230,630414.4107754434
0.8,827396,853439,662512.398456732
0.8,834669,822015,668547.956137865
0.8,839045,877013,680043.2235309207
0.8,857965,828477,693004.7815155316
0.8,822566,805907,669099.2209609594
0.8,879650,857305,708630.5724702912
0.9,831425,849935,680994.5757418879
0.9,839625,828447,665668.3560278681
0.9,811646,768126,651305.3816708076
0.9,831701,866053,695183.7690020413
0.9,809392,843402,661962.9561917708
0.9,807360,763486,656760.4495093515
0.9,849466,850877,688680.4760887198
0.9,836433,805236,682388.2379183229
0.9,805886,796763,654464.7830271883
0.9,818851,886965,671094.6253296195
0.9,856445,819727,687968.1991749884
0.9,865437,861936,689580.9764586003
0.9,814182,757282,648486.2089159007
0.9,805851,798430,654292.8127032269
0.9,839675,801370,680483.9164037625
0.9,794099,784694,648587.8302313235
0.9,843823,859887,677632.4893569171
0.9,832263,785536,676624.4427130694
0.9,865455,829322,705587.8103228756
0.9,818457,797726,664365.3703929629
0.9,815213,769086,640319.2764712868
0.9,861271,819786,690307.7181537312
0.9,846348,803422,685089.6095134421
0.9,776299,771842,630414.4107754434
0.9,829154,842991,662512.398456732
0.9,829796,829756,668547.956137865
0.9,837022,867286,680043.2235309207
0.9,852826,819408,693004.7815155316
0.9,820923,835300,669099.2209609594
0.9,874652,851380,708630.5724702912
1,835737,855192,680994.5757418879
1,839024,820978,665668.3560278681
1,815203,783178,651305.3816708076
1,843311,861858,695183.7690020413
1,808285,816783,661962.9561917708
1,822947,767651,656760.4495093515
1,848169,843550,688680.4760887198
1,845737,794641,682388.2379183229
1,801873,809426,654464.7830271883
