=== START Bayesian search: 2D search ===
Grid size: 861
Initial random evals: 20, Max evals: 100, kappa=1.0
Completed computation for 231 (mu,alpha):(0.1, 1.8) Algo:Area P:4096 n:700 
Completed computation for 232 (mu,alpha):(0.1, 1.8) Algo:Area P:1024 n:500 
Completed computation for 233 (mu,alpha):(0.1, 1.8) Algo:Area P:2048 n:1000 
Completed computation for 234 (mu,alpha):(0.1, 1.8) Algo:Area P:8192 n:1000 
Completed computation for 235 (mu,alpha):(0.1, 1.8) Algo:Area P:2048 n:1000 
Completed computation for 236 (mu,alpha):(0.1, 1.8) Algo:Area P:8192 n:400 
Completed computation for 237 (mu,alpha):(0.1, 1.8) Algo:Area P:128 n:700 
Completed computation for 238 (mu,alpha):(0.1, 1.8) Algo:Area P:128 n:1000 
Completed computation for 239 (mu,alpha):(0.1, 1.8) Algo:Area P:2048 n:900 
Completed computation for 240 (mu,alpha):(0.1, 1.8) Algo:Area P:4096 n:200 
Completed computation for 241 (mu,alpha):(0.1, 1.8) Algo:Area P:2048 n:300 
Completed computation for 242 (mu,alpha):(0.1, 1.8) Algo:Area P:128 n:100 
Completed computation for 243 (mu,alpha):(0.1, 1.8) Algo:Area P:128 n:1000 
Completed computation for 244 (mu,alpha):(0.1, 1.8) Algo:Area P:4096 n:300 
Completed computation for 245 (mu,alpha):(0.1, 1.8) Algo:Area P:256 n:200 
Completed computation for 246 (mu,alpha):(0.1, 1.8) Algo:Area P:4096 n:400 
Completed computation for 247 (mu,alpha):(0.1, 1.8) Algo:Area P:2048 n:200 
Completed computation for 248 (mu,alpha):(0.1, 1.8) Algo:Area P:256 n:1000 
Completed computation for 249 (mu,alpha):(0.1, 1.8) Algo:Area P:4096 n:600 
Completed computation for 250 (mu,alpha):(0.1, 1.8) Algo:Area P:256 n:500 
Completed computation for 251 (mu,alpha):(0.1, 1.8) Algo:Area P:256 n:400 
Completed computation for 252 (mu,alpha):(0.1, 1.8) Algo:Area P:512 n:500 
Completed computation for 253 (mu,alpha):(0.1, 1.8) Algo:Area P:2048 n:900 
Completed computation for 254 (mu,alpha):(0.1, 1.8) Algo:Area P:8192 n:300 
Completed computation for 255 (mu,alpha):(0.1, 1.8) Algo:Area P:512 n:900 
Completed computation for 256 (mu,alpha):(0.1, 1.8) Algo:Area P:2048 n:600 
Completed computation for 257 (mu,alpha):(0.1, 1.8) Algo:Area P:256 n:700 
Completed computation for 258 (mu,alpha):(0.1, 1.8) Algo:Area P:128 n:300 
Completed computation for 259 (mu,alpha):(0.1, 1.8) Algo:Area P:128 n:300 
