P,n,File_number,regular,fat,jump,density,Paper,Time opt,Makespan,Model
137,128,200,72,0.394906,0.175942,1.0,0.186823,396240.03858143295,144274.6326808286,2.7464290237218245,Amdahl
138,2048,900,5,0.247729,0.836127,5.0,0.441715,140010.10893701256,49940.48044438356,2.803539487228911,Amdahl
139,2048,700,96,0.25451,0.838536,4.0,0.8474,151899.37561641185,56519.22387451254,2.6875700903761204,Amdahl
140,256,700,51,0.31475,0.897052,7.0,0.415316,95564.69839954574,45156.230695502825,2.1163125647921532,Amdahl
141,8192,500,70,0.57611,0.361377,2.0,0.279473,338350.0439502217,121435.3262730059,2.786257132373137,Amdahl
142,1024,1000,11,0.103925,0.694013,7.0,0.897745,280677.8343206624,92579.21322333123,3.031758691268806,Amdahl
143,8192,500,32,0.249996,0.435999,6.0,0.749528,224394.96867619237,72910.51659648483,3.077676296247926,Amdahl
144,4096,300,46,0.741354,0.414512,7.0,0.735342,185686.9389312979,62757.078315382736,2.9588206448703196,Amdahl
145,4096,900,58,0.775592,0.449467,8.0,0.362687,177326.21062584355,65313.63845804152,2.7149951344352163,Amdahl
146,128,600,38,0.193398,0.268482,9.0,0.585857,208249.0814922535,66251.84599175508,3.1432947772982764,Amdahl
147,512,100,27,0.193416,0.782401,10.0,0.387746,50318.62513830112,18438.033715027028,2.7290667712192844,Amdahl
148,8192,800,14,0.47263,0.659025,1.0,0.559553,241488.90747233506,87957.95706235393,2.7455038240729275,Amdahl
149,256,200,90,0.517281,0.702481,8.0,0.62128,111509.15646231572,37007.41328852182,3.013157271840485,Amdahl
150,4096,1000,77,0.816226,0.204655,9.0,0.121792,113540.76361310907,41021.11243943413,2.767861641508309,Amdahl
151,4096,200,55,0.781683,0.567207,7.0,0.774825,77504.02461543848,26353.847903355287,2.9408997463922875,Amdahl
152,2048,100,66,0.841653,0.118329,10.0,0.436519,72349.12577492557,27250.534757641006,2.6549616885826066,Amdahl
153,8192,300,51,0.697882,0.371851,7.0,0.779373,167638.57317880128,60093.4069666644,2.7896333664655657,Amdahl
154,2048,200,44,0.227299,0.301321,3.0,0.308966,96069.8570190521,33073.78886815719,2.904712774276258,Amdahl
155,256,700,82,0.290622,0.870233,9.0,0.792526,111950.49665763891,42932.52325954642,2.6075918245207204,Amdahl
156,8192,200,93,0.704732,0.778132,3.0,0.294163,36480.01167493353,13853.999174172097,2.6331755341044722,Amdahl
157,4096,1000,65,0.771457,0.558805,7.0,0.455316,307754.56582530047,107671.69029516692,2.8582681759860393,Amdahl
158,256,300,74,0.520132,0.200871,9.0,0.204427,84545.13271440568,29576.859453215835,2.858489179628341,Amdahl
159,1024,600,51,0.521,0.712088,6.0,0.601461,156927.64847219252,51834.813918013984,3.0274565800583684,Amdahl
160,4096,900,14,0.188686,0.265268,1.0,0.276621,641082.6110101615,231905.92690004176,2.7644080493315157,Amdahl
