p,Paper,Min Time,Time opt
4500,269699,285892,225541.48090435646
4500,272420,300719,235195.93677429185
4500,285997,293369,221455.123464321
4500,254225,265477,213439.75882376227
4500,268836,292896,230102.5727179104
4500,265625,278901,228363.20317114738
4500,258052,262564,210138.13692514782
4500,307634,308655,220837.46615224401
4500,281486,294351,222849.31871262167
4500,315218,329547,249212.0842718282
4500,273786,289902,231001.5938385105
4500,279030,295492,232634.46852094532
4500,271786,295921,236210.1908234304
5000,281781,292555,215201.72169135115
5000,258966,264016,199700.50680836043
5000,243705,250222,195391.6145012423
5000,287667,302705,245442.5501918573
5000,254114,271197,206437.73366141034
5000,237116,240564,197028.13485280544
5000,252052,268522,206604.14282661592
5000,263045,274463,204716.47137549688
5000,275257,276182,216639.9346013367
5000,311113,313069,277146.0662574373
5000,254795,254077,206390.45975249654
5000,266292,276418,206874.29293758006
5000,218844,233268,194545.86267477018
5000,266552,276188,217724.53636826196
5000,255340,265647,204145.17492112875
5000,259830,265527,194576.34906939705
5000,276031,283980,227307.20619920548
5000,246522,262135,202987.3328139208
5000,247501,263755,211676.34309686266
5000,267077,276932,214045.36166586992
5000,234566,246431,192095.78294138605
5000,252199,263560,207092.31544611935
5000,238636,252276,205526.88285403262
5000,230653,244254,189124.32323263303
5000,285457,291474,220545.01269236096
5000,271524,272003,219431.00054186178
5000,298586,311203,249212.0842718282
5000,256507,268240,207901.43445465947
5000,267942,282035,232634.46852094532
5000,249548,274984,212589.17174108737
