fat,Paper,Min Time,Time opt
0.8,3281361,10706024,1061128.592845121
0.8,3420489,11222302,1038531.620630386
0.8,3282938,10235725,1112331.2613835982
0.8,2939121,8988649,946425.7809961586
0.8,3195229,10168916,856283.8271545188
0.8,3079698,9611635,871956.8833464034
0.8,3094870,9439614,1084095.40892238
0.8,3297592,10763977,807622.8385712779
0.8,3408883,11041016,979497.6273457757
0.8,3047599,9387986,888444.4991931773
0.8,3561200,11534488,1101850.7123400366
0.8,2840405,8979934,1177114.9850219702
0.8,3390183,10361387,1086906.2387616313
0.8,3683018,11919939,1051752.2430414676
0.8,2927755,9230930,874979.9457629418
0.8,2911379,9161463,1160012.4434045353
0.8,3171419,9371202,974870.2551031911
0.8,3294782,10320805,1097503.9665938267
0.8,3394854,10917568,931423.9019681225
0.8,3385638,10925801,1023499.8566844508
0.8,2873768,8714170,875042.6418148187
0.9,2815984,8732862,680994.575741888
0.9,2940597,9308307,665668.3560278681
0.9,2879916,8887051,681560.6480145513
0.9,3293085,10542539,695183.7690020413
0.9,3027731,9383096,804809.1267701911
0.9,2767547,8332544,656760.4495093515
0.9,3065093,9560579,688680.4760887198
0.9,3239661,10477204,682388.2379183229
