P,n,Paper,Min Time,Time opt,mtpa
2400,300,317393.625908914,388886.4226595209,257808.0266661928,1.231123910350053
3000,800,593210.025769834,859691.2690239516,547548.2250257279,1.0833932038442105
4500,100,107752.89329696595,89480.80004198404,67742.26274582943,1.590630264319002
4500,100,122371.01580783294,132550.46223938194,96621.71431835281,1.2664960114932382
200,600,6690353.742248024,6124762.532992428,6080644.823719784,1.1002704377913748
4500,400,250619.51604955466,260487.63389477925,184550.71346397253,1.3579980881432892
4500,100,86424.49379205472,73571.89350991948,50459.111537190256,1.7127628917595314
3100,400,292791.50739493634,479314.83161030867,250191.68054371103,1.1702687585720208
900,900,2088063.092657631,2438472.742336341,2015741.6243209336,1.035878342474106
2800,500,408386.11633373756,600461.9737600494,351835.95509429544,1.1607287726585138
1300,400,687761.5391249292,826044.5792192139,596610.9305273109,1.1527806547510877
4500,100,85654.26610657356,72729.1558434986,54138.05797390288,1.5821451546685141
2200,900,917708.2865948994,1380481.6018555192,841614.0922042098,1.0904145915515706
500,700,3070314.2562695164,3127984.701132598,2879545.8315440235,1.0662494837330656
3400,600,428735.3323860251,634584.6622797702,359748.2810247427,1.191764783878252
200,600,6461830.33548566,6177834.80710056,6115720.777420626,1.0565934205732344
4300,900,546093.5728974557,636688.3545989261,430593.2564765724,1.2682353118253429
2000,1000,1044858.427758678,1582332.5896655268,986806.9501150118,1.0588275930128992
1300,400,738852.8886270487,826695.1530519673,614822.5913183929,1.201733474111112
4300,600,356849.64201331534,396052.9596519494,284452.12918235466,1.2545156298849447
4500,400,242519.1307284803,270027.7889638736,182262.96371738837,1.3306001712148354
4500,100,115617.25354800807,106654.04226431227,100419.32952364009,1.1513446076214857
4500,900,462870.9545676631,537482.0630391556,403949.69072213507,1.1458628764888898
3100,400,307395.73474270536,449808.68696829886,257828.8286173906,1.1922473386359382
2000,200,270796.95235898765,256744.78886527213,201836.56152433166,1.3416645146639734
200,600,6263503.016130036,5869102.956302022,5790487.552760205,1.0816883654545382
2000,200,284733.60943706,346569.7289981835,214724.98832849332,1.3260385372636054
2800,500,414768.15188799135,645562.3094189914,368935.96933324274,1.1242280134343596
2000,200,286501.7882253673,353812.5830810031,203089.54220536858,1.4107165987682933
900,900,2081492.8279563964,2372282.2085677553,1980198.6464189987,1.0511535454892764
200,600,7071071.233089993,6376944.850307252,6268521.525101105,1.1280285478442134
