P,n,File_number,regular,fat,jump,density,Paper,Time opt,Makespan,Model
168,128,200,86,0.435028,0.623038,3.0,0.230753,33238.496247608084,26888.76902988789,1.23614793264289,Roofline
169,2048,900,77,0.571137,0.35821,7.0,0.677157,110825.23318112145,37946.014087232514,2.92060275227722,Roofline
170,256,900,3,0.534845,0.213005,5.0,0.132059,64647.04078384459,52332.66199794363,1.235309619571518,Roofline
171,2048,300,43,0.340829,0.525727,8.0,0.841364,12806.30203286326,6112.042014901981,2.0952575263127726,Roofline
172,1024,500,77,0.704449,0.783432,6.0,0.298018,61196.22591314564,23782.77478459115,2.5731322971108757,Roofline
173,2048,400,72,0.883618,0.15996,9.0,0.172318,28024.39000204779,10832.51323803786,2.5870626129162217,Roofline
174,4096,400,58,0.686599,0.875606,6.0,0.881213,8558.274573576931,3251.405476284542,2.632176957318985,Roofline
175,8192,900,98,0.545468,0.62051,3.0,0.6274,51702.59255872894,19486.791298873377,2.6532122074770776,Roofline
176,2048,700,58,0.220126,0.806248,6.0,0.301839,100498.3296865225,50354.223476320665,1.9958272166342186,Roofline
177,256,100,100,0.384945,0.643933,8.0,0.250803,7770.089422110611,6477.04446032214,1.199635029481357,Roofline
178,1024,300,60,0.159302,0.750772,6.0,0.152271,5750.744677248302,3764.555455389693,1.5276025935585549,Roofline
179,512,100,9,0.402947,0.593761,5.0,0.506631,2335.574146288208,1880.7124121824588,1.2418560813228792,Roofline
180,4096,800,88,0.806927,0.191161,7.0,0.201831,35577.473656024486,17329.60230789093,2.052988465859052,Roofline
181,4096,200,67,0.782643,0.855943,10.0,0.467253,2022.0734441791415,1161.3843977376505,1.7410888661136597,Roofline
182,256,400,72,0.883618,0.15996,9.0,0.172318,35991.1249385301,21388.825990083515,1.682706893553514,Roofline
183,256,600,68,0.696447,0.37295,6.0,0.689092,79950.46192464005,34851.16853343638,2.2940539812297884,Roofline
184,1024,500,2,0.169233,0.756732,8.0,0.67342,88765.82632435708,29106.02302684893,3.0497408128370824,Roofline
185,4096,1000,22,0.644907,0.226642,4.0,0.236528,27338.116369948242,9192.378974958712,2.9739979655343824,Roofline
186,4096,700,66,0.291652,0.767727,6.0,0.373913,120450.97841279561,48386.069668901415,2.4893730620615293,Roofline
187,512,500,45,0.624476,0.809804,2.0,0.330095,56863.672392197404,20595.470325205024,2.7609795500813035,Roofline
188,2048,800,97,0.877666,0.546156,6.0,0.465663,86027.92951819475,27975.713921449507,3.075093266958078,Roofline
189,8192,500,93,0.441353,0.229046,6.0,0.124186,26378.04725961172,9100.404610956824,2.8985576342235086,Roofline
190,256,300,58,0.498927,0.568496,8.0,0.582033,25822.73753854389,19049.081053200334,1.3555896720910614,Roofline
191,256,300,46,0.741354,0.414512,7.0,0.735342,30080.729687201638,16709.584050768517,1.8002081677082888,Roofline
192,8192,200,12,0.845326,0.118076,10.0,0.125299,10153.813819254368,3711.7599194817644,2.7355793584494665,Roofline
193,128,500,3,0.893572,0.680991,4.0,0.576443,72515.886824929,57856.90789028665,1.253366096965292,Roofline
194,128,500,38,0.15137,0.33787,3.0,0.636078,96495.24468292724,57441.69446562033,1.679881583936926,Roofline
195,128,700,83,0.591571,0.26118,6.0,0.272775,104383.62662371472,81990.87854229895,1.2731126739892584,Roofline
196,256,400,91,0.654566,0.838252,3.0,0.336082,35994.19446708184,22400.817661149387,1.6068250280661842,Roofline
197,4096,800,62,0.727254,0.803596,4.0,0.719382,42929.72019306414,20928.70695834475,2.0512361455731067,Roofline
198,512,800,94,0.317036,0.386954,7.0,0.797791,108195.1238611994,40810.215976887834,2.6511774385725833,Roofline
199,512,800,55,0.706365,0.382068,4.0,0.389507,83694.4433968978,38085.30820624425,2.197551952150823,Roofline
200,128,800,35,0.551232,0.338544,8.0,0.654431,169512.6549658098,93511.25803490353,1.8127513042604817,Roofline
201,128,400,80,0.119984,0.303838,5.0,0.31317,51287.76368831213,41136.22764878971,1.246778487473221,Roofline
202,256,600,15,0.832195,0.109359,8.0,0.114569,45099.65447222794,34231.34565572595,1.3174958100043033,Roofline
203,256,600,87,0.701721,0.485789,10.0,0.896196,44070.84236609864,35546.324493194,1.2398143266411923,Roofline
204,512,200,41,0.721395,0.106057,9.0,0.823169,8459.359320397662,5737.797191048172,1.4743217717063155,Roofline
205,128,1000,58,0.364897,0.550257,7.0,0.86565,173269.01804897992,116757.07484371259,1.484013009754762,Roofline
206,2048,700,42,0.233968,0.821963,3.0,0.338724,41338.12217167036,20292.961102872483,2.0370670382755978,Roofline
207,512,400,39,0.365001,0.438371,2.0,0.357296,28934.814650849297,11090.186805792544,2.6090466425449463,Roofline
208,1024,1000,51,0.555869,0.745138,1.0,0.352455,47969.79163124314,16073.252104701176,2.984448406505907,Roofline
209,256,100,46,0.325311,0.799592,4.0,0.318062,15460.158998969528,4604.319494062464,3.357751133236148,Roofline
210,2048,900,99,0.531782,0.205223,8.0,0.525002,121750.0172554254,64312.381034325845,1.8931038673633154,Roofline
211,4096,900,55,0.633656,0.413141,4.0,0.333687,49978.39726834172,16784.898555453463,2.977581133613917,Roofline
212,512,900,20,0.577605,0.764293,1.0,0.259277,93262.0537947446,39234.60108057627,2.3770358618713088,Roofline
213,1024,100,28,0.887865,0.559718,7.0,0.171747,3593.175770413707,1561.1197836766214,2.301665642819127,Roofline
214,2048,1000,80,0.654831,0.440754,8.0,0.358147,49061.96231817398,11706.78763223605,4.190898806695353,Roofline
215,512,900,76,0.749151,0.132192,4.0,0.849332,135661.49997958587,45875.67683526703,2.9571552800567247,Roofline
216,128,700,34,0.540316,0.726719,1.0,0.216357,150673.5811091145,78660.47431710923,1.9154929132729865,Roofline
217,256,900,70,0.311977,0.384731,2.0,0.7021,249173.07484275755,143972.40342962564,1.7307002516253365,Roofline
218,512,900,56,0.267938,0.451841,10.0,0.257167,62910.28779826111,28006.187442832947,2.2462996052809916,Roofline
219,8192,700,92,0.130883,0.201247,8.0,0.211027,18374.16037796026,6703.423908885665,2.741011254503024,Roofline
220,4096,700,33,0.421324,0.608456,3.0,0.220844,16163.15358710003,6490.689863818363,2.4902058065044446,Roofline
221,128,300,93,0.667712,0.743423,4.0,0.748051,43342.350676346425,34227.91484030465,1.2662866224415512,Roofline
222,8192,1000,71,0.623511,0.410596,4.0,0.72606,106361.56231611167,37923.6402241004,2.8046242841561155,Roofline
223,128,500,37,0.168277,0.240408,9.0,0.157412,75563.94819434,51495.58120647193,1.467387034459632,Roofline
224,1024,600,83,0.838923,0.223213,3.0,0.233695,17609.188993906846,9376.76089917932,1.8779607567308292,Roofline
225,512,800,27,0.825223,0.895451,9.0,0.105794,28203.40341142156,23623.755678738333,1.1938577335019158,Roofline
226,1024,300,94,0.40044,0.473125,1.0,0.480569,24734.640922596842,9389.525055214952,2.63428030461021,Roofline
227,256,400,20,0.742696,0.134324,4.0,0.54066,40173.4522913862,23518.87271481939,1.708136813295165,Roofline
228,8192,400,90,0.85929,0.240624,8.0,0.845339,44374.99990460098,13926.914881122386,3.18627637803332,Roofline
229,8192,200,27,0.585032,0.769977,1.0,0.690259,21029.326199846328,7479.733511501313,2.8115074109940283,Roofline
230,1024,500,75,0.114038,0.697068,3.0,0.307851,30689.871795911393,18315.062598146134,1.6756629485403913,Roofline
231,256,100,94,0.771953,0.560014,10.0,0.568692,8414.933178407822,6870.079496840111,1.224866929455222,Roofline
232,2048,800,74,0.690544,0.869602,5.0,0.881814,32878.06152620419,10868.37833355673,3.025111982409678,Roofline
233,2048,800,42,0.470686,0.549977,8.0,0.558031,26885.838980317774,7004.310606132063,3.8384704066064734,Roofline
234,128,400,47,0.412762,0.595044,4.0,0.800959,57499.028482455346,44383.12546289486,1.2955155339505244,Roofline
235,1024,300,55,0.610289,0.392224,5.0,0.311971,14189.356725904123,4271.608920895634,3.321782726057474,Roofline
236,2048,500,18,0.329123,0.117396,7.0,0.83432,61494.87966209121,19831.541764871494,3.1008622723937616,Roofline
237,4096,200,80,0.274224,0.347897,5.0,0.755677,24255.66336704851,9477.660058218595,2.559245976122039,Roofline
238,2048,1000,84,0.637089,0.821346,9.0,0.316851,37534.52400454679,21167.63514755145,1.773203465711122,Roofline
239,4096,500,88,0.614454,0.398912,3.0,0.295666,31162.60409776806,11212.29949202623,2.7793231994855065,Roofline
240,256,900,32,0.614524,0.28622,7.0,0.203586,67268.50755571607,49289.578009550016,1.3647612796093036,Roofline
241,8192,600,24,0.455551,0.526882,4.0,0.445138,47004.53959283611,17666.451675091896,2.6606666951184246,Roofline
