=== START Bayesian-like search (NO repeats) ===
Grid size: 861 total combos
Initial random evals: 20, Max evals: 100, kappa=1.0
Completed computation for 194 (mu,gamma):(0.74, 0.05) model:Roofline P:2048 n:100 
Completed computation for 195 (mu,gamma):(0.74, 0.05) model:Roofline P:512 n:800 
Completed computation for 196 (mu,gamma):(0.74, 0.05) model:Roofline P:2048 n:200 
Completed computation for 197 (mu,gamma):(0.74, 0.05) model:Roofline P:2048 n:600 
Completed computation for 198 (mu,gamma):(0.74, 0.05) model:Roofline P:1024 n:100 
Completed computation for 199 (mu,gamma):(0.74, 0.05) model:Roofline P:256 n:700 
Completed computation for 200 (mu,gamma):(0.74, 0.05) model:Roofline P:128 n:1000 
Completed computation for 201 (mu,gamma):(0.74, 0.05) model:Roofline P:1024 n:800 
Completed computation for 202 (mu,gamma):(0.74, 0.05) model:Roofline P:1024 n:800 
Completed computation for 203 (mu,gamma):(0.74, 0.05) model:Roofline P:1024 n:1000 
Completed computation for 204 (mu,gamma):(0.74, 0.05) model:Roofline P:8192 n:600 
Completed computation for 205 (mu,gamma):(0.74, 0.05) model:Roofline P:4096 n:200 
Completed computation for 206 (mu,gamma):(0.74, 0.05) model:Roofline P:1024 n:700 
Completed computation for 207 (mu,gamma):(0.74, 0.05) model:Roofline P:8192 n:800 
Completed computation for 208 (mu,gamma):(0.74, 0.05) model:Roofline P:128 n:1000 
Completed computation for 209 (mu,gamma):(0.74, 0.05) model:Roofline P:2048 n:1000 
Completed computation for 210 (mu,gamma):(0.74, 0.05) model:Roofline P:1024 n:1000 
Completed computation for 211 (mu,gamma):(0.74, 0.05) model:Roofline P:2048 n:900 
Completed computation for 212 (mu,gamma):(0.74, 0.05) model:Roofline P:512 n:600 
Completed computation for 213 (mu,gamma):(0.74, 0.05) model:Roofline P:1024 n:700 
Completed computation for 214 (mu,gamma):(0.74, 0.05) model:Roofline P:1024 n:100 
Completed computation for 215 (mu,gamma):(0.74, 0.05) model:Roofline P:4096 n:100 
Completed computation for 216 (mu,gamma):(0.74, 0.05) model:Roofline P:128 n:700 
Completed computation for 217 (mu,gamma):(0.74, 0.05) model:Roofline P:128 n:300 
Completed computation for 218 (mu,gamma):(0.74, 0.05) model:Roofline P:2048 n:1000 
Completed computation for 219 (mu,gamma):(0.74, 0.05) model:Roofline P:256 n:500 
Completed computation for 220 (mu,gamma):(0.74, 0.05) model:Roofline P:128 n:500 
Completed computation for 221 (mu,gamma):(0.74, 0.05) model:Roofline P:2048 n:400 
Completed computation for 222 (mu,gamma):(0.74, 0.05) model:Roofline P:128 n:900 
Completed computation for 223 (mu,gamma):(0.74, 0.05) model:Roofline P:128 n:300 
Completed computation for 224 (mu,gamma):(0.74, 0.05) model:Roofline P:4096 n:200 
Completed computation for 225 (mu,gamma):(0.74, 0.05) model:Roofline P:128 n:500 
Completed computation for 226 (mu,gamma):(0.74, 0.05) model:Roofline P:256 n:200 
Completed computation for 227 (mu,gamma):(0.74, 0.05) model:Roofline P:1024 n:300 
Completed computation for 228 (mu,gamma):(0.74, 0.05) model:Roofline P:2048 n:200 
Completed computation for 229 (mu,gamma):(0.74, 0.05) model:Roofline P:4096 n:500 
Completed computation for 230 (mu,gamma):(0.74, 0.05) model:Roofline P:8192 n:100 
Completed computation for 231 (mu,gamma):(0.74, 0.05) model:Roofline P:4096 n:700 
Completed computation for 232 (mu,gamma):(0.74, 0.05) model:Roofline P:1024 n:500 
Completed computation for 233 (mu,gamma):(0.74, 0.05) model:Roofline P:2048 n:1000 
Completed computation for 234 (mu,gamma):(0.74, 0.05) model:Roofline P:8192 n:1000 
Completed computation for 235 (mu,gamma):(0.74, 0.05) model:Roofline P:2048 n:1000 
Completed computation for 236 (mu,gamma):(0.74, 0.05) model:Roofline P:8192 n:400 
Completed computation for 237 (mu,gamma):(0.74, 0.05) model:Roofline P:128 n:700 
Completed computation for 238 (mu,gamma):(0.74, 0.05) model:Roofline P:128 n:1000 
Completed computation for 239 (mu,gamma):(0.74, 0.05) model:Roofline P:2048 n:900 
Completed computation for 240 (mu,gamma):(0.74, 0.05) model:Roofline P:4096 n:200 
Completed computation for 241 (mu,gamma):(0.74, 0.05) model:Roofline P:2048 n:300 
Completed computation for 242 (mu,gamma):(0.74, 0.05) model:Roofline P:128 n:100 
Completed computation for 243 (mu,gamma):(0.74, 0.05) model:Roofline P:128 n:1000 
Completed computation for 244 (mu,gamma):(0.74, 0.05) model:Roofline P:4096 n:300 
Completed computation for 245 (mu,gamma):(0.74, 0.05) model:Roofline P:256 n:200 
Completed computation for 246 (mu,gamma):(0.74, 0.05) model:Roofline P:4096 n:400 
Completed computation for 247 (mu,gamma):(0.74, 0.05) model:Roofline P:2048 n:200 
Completed computation for 248 (mu,gamma):(0.74, 0.05) model:Roofline P:256 n:1000 
Completed computation for 249 (mu,gamma):(0.74, 0.05) model:Roofline P:4096 n:600 
Completed computation for 250 (mu,gamma):(0.74, 0.05) model:Roofline P:256 n:500 
Completed computation for 251 (mu,gamma):(0.74, 0.05) model:Roofline P:256 n:400 
Completed computation for 252 (mu,gamma):(0.74, 0.05) model:Roofline P:512 n:500 
Completed computation for 253 (mu,gamma):(0.74, 0.05) model:Roofline P:2048 n:900 
Completed computation for 254 (mu,gamma):(0.74, 0.05) model:Roofline P:8192 n:300 
Completed computation for 255 (mu,gamma):(0.74, 0.05) model:Roofline P:512 n:900 
Completed computation for 256 (mu,gamma):(0.74, 0.05) model:Roofline P:2048 n:600 
Completed computation for 257 (mu,gamma):(0.74, 0.05) model:Roofline P:256 n:700 
Completed computation for 258 (mu,gamma):(0.74, 0.05) model:Roofline P:128 n:300 
Completed computation for 259 (mu,gamma):(0.74, 0.05) model:Roofline P:128 n:300 
Completed computation for 260 (mu,gamma):(0.74, 0.05) model:Roofline P:1024 n:700 
Completed computation for 261 (mu,gamma):(0.74, 0.05) model:Roofline P:256 n:800 
Completed computation for 262 (mu,gamma):(0.74, 0.05) model:Roofline P:1024 n:1000 
Completed computation for 263 (mu,gamma):(0.74, 0.05) model:Roofline P:4096 n:900 
Completed computation for 264 (mu,gamma):(0.74, 0.05) model:Roofline P:512 n:600 
Completed computation for 265 (mu,gamma):(0.74, 0.05) model:Roofline P:2048 n:700 
Completed computation for 266 (mu,gamma):(0.74, 0.05) model:Roofline P:256 n:400 
Completed computation for 267 (mu,gamma):(0.74, 0.05) model:Roofline P:2048 n:500 
Completed computation for 268 (mu,gamma):(0.74, 0.05) model:Roofline P:128 n:800 
Completed computation for 269 (mu,gamma):(0.74, 0.05) model:Roofline P:512 n:200 
Completed computation for 270 (mu,gamma):(0.74, 0.05) model:Roofline P:128 n:900 
Completed computation for 271 (mu,gamma):(0.74, 0.05) model:Roofline P:512 n:300 
Completed computation for 272 (mu,gamma):(0.74, 0.05) model:Roofline P:8192 n:400 
Completed computation for 273 (mu,gamma):(0.74, 0.05) model:Roofline P:8192 n:500 
Completed computation for 274 (mu,gamma):(0.74, 0.05) model:Roofline P:128 n:400 
Completed computation for 275 (mu,gamma):(0.74, 0.05) model:Roofline P:512 n:400 
Completed computation for 276 (mu,gamma):(0.74, 0.05) model:Roofline P:8192 n:700 
Completed computation for 277 (mu,gamma):(0.74, 0.05) model:Roofline P:8192 n:400 
Completed computation for 278 (mu,gamma):(0.74, 0.05) model:Roofline P:1024 n:600 
Completed computation for 279 (mu,gamma):(0.74, 0.05) model:Roofline P:512 n:700 
Completed computation for 280 (mu,gamma):(0.74, 0.05) model:Roofline P:4096 n:400 
Completed computation for 281 (mu,gamma):(0.74, 0.05) model:Roofline P:8192 n:300 
Completed computation for 282 (mu,gamma):(0.74, 0.05) model:Roofline P:512 n:200 
Completed computation for 283 (mu,gamma):(0.74, 0.05) model:Roofline P:2048 n:500 
Completed computation for 284 (mu,gamma):(0.74, 0.05) model:Roofline P:128 n:400 
Completed computation for 285 (mu,gamma):(0.74, 0.05) model:Roofline P:2048 n:400 
Completed computation for 286 (mu,gamma):(0.74, 0.05) model:Roofline P:4096 n:400 
Completed computation for 287 (mu,gamma):(0.74, 0.05) model:Roofline P:8192 n:800 
Completed computation for 288 (mu,gamma):(0.74, 0.05) model:Roofline P:1024 n:900 
Completed computation for 289 (mu,gamma):(0.74, 0.05) model:Roofline P:512 n:700 
Completed computation for 290 (mu,gamma):(0.74, 0.05) model:Roofline P:256 n:1000 
Completed computation for 291 (mu,gamma):(0.74, 0.05) model:Roofline P:256 n:700 
Completed computation for 292 (mu,gamma):(0.74, 0.05) model:Roofline P:256 n:500 
Completed computation for 293 (mu,gamma):(0.74, 0.05) model:Roofline P:8192 n:700 
Completed computation for 294 (mu,gamma):(0.74, 0.05) model:Roofline P:128 n:500 
Completed computation for 295 (mu,gamma):(0.74, 0.05) model:Roofline P:2048 n:900 
Completed computation for 296 (mu,gamma):(0.74, 0.05) model:Roofline P:128 n:200 
Completed computation for 297 (mu,gamma):(0.74, 0.05) model:Roofline P:4096 n:400 
Completed computation for 298 (mu,gamma):(0.74, 0.05) model:Roofline P:2048 n:400 
Completed computation for 299 (mu,gamma):(0.74, 0.05) model:Roofline P:2048 n:100 
Completed computation for 300 (mu,gamma):(0.74, 0.05) model:Roofline P:256 n:300 
Completed computation for 301 (mu,gamma):(0.74, 0.05) model:Roofline P:1024 n:800 
Completed computation for 302 (mu,gamma):(0.74, 0.05) model:Roofline P:128 n:900 
Completed computation for 303 (mu,gamma):(0.74, 0.05) model:Roofline P:1024 n:900 
Completed computation for 304 (mu,gamma):(0.74, 0.05) model:Roofline P:2048 n:400 
Completed computation for 305 (mu,gamma):(0.74, 0.05) model:Roofline P:8192 n:900 
Completed computation for 306 (mu,gamma):(0.74, 0.05) model:Roofline P:256 n:500 
Completed computation for 307 (mu,gamma):(0.74, 0.05) model:Roofline P:512 n:100 
Completed computation for 308 (mu,gamma):(0.74, 0.05) model:Roofline P:2048 n:400 
Completed computation for 309 (mu,gamma):(0.74, 0.05) model:Roofline P:128 n:700 
Completed computation for 310 (mu,gamma):(0.74, 0.05) model:Roofline P:2048 n:400 
Completed computation for 311 (mu,gamma):(0.74, 0.05) model:Roofline P:4096 n:1000 
Completed computation for 312 (mu,gamma):(0.74, 0.05) model:Roofline P:4096 n:800 
Completed computation for 313 (mu,gamma):(0.74, 0.05) model:Roofline P:128 n:1000 
Completed computation for 314 (mu,gamma):(0.74, 0.05) model:Roofline P:128 n:1000 
Completed computation for 315 (mu,gamma):(0.74, 0.05) model:Roofline P:128 n:600 
Completed computation for 316 (mu,gamma):(0.74, 0.05) model:Roofline P:1024 n:400 
Completed computation for 317 (mu,gamma):(0.74, 0.05) model:Roofline P:512 n:600 
Completed computation for 318 (mu,gamma):(0.74, 0.05) model:Roofline P:128 n:700 
Completed computation for 319 (mu,gamma):(0.74, 0.05) model:Roofline P:256 n:1000 
Completed computation for 320 (mu,gamma):(0.74, 0.05) model:Roofline P:4096 n:700 
Completed computation for 321 (mu,gamma):(0.74, 0.05) model:Roofline P:8192 n:700 
Completed computation for 322 (mu,gamma):(0.74, 0.05) model:Roofline P:512 n:400 
Completed computation for 323 (mu,gamma):(0.74, 0.05) model:Roofline P:256 n:400 
Completed computation for 324 (mu,gamma):(0.74, 0.05) model:Roofline P:8192 n:600 
Completed computation for 325 (mu,gamma):(0.74, 0.05) model:Roofline P:8192 n:900 
Completed computation for 326 (mu,gamma):(0.74, 0.05) model:Roofline P:4096 n:800 
Completed computation for 327 (mu,gamma):(0.74, 0.05) model:Roofline P:512 n:500 
Completed computation for 328 (mu,gamma):(0.74, 0.05) model:Roofline P:8192 n:800 
Completed computation for 329 (mu,gamma):(0.74, 0.05) model:Roofline P:2048 n:200 
Completed computation for 330 (mu,gamma):(0.74, 0.05) model:Roofline P:1024 n:200 
Completed computation for 331 (mu,gamma):(0.74, 0.05) model:Roofline P:8192 n:500 
Completed computation for 332 (mu,gamma):(0.74, 0.05) model:Roofline P:256 n:500 
Completed computation for 333 (mu,gamma):(0.74, 0.05) model:Roofline P:1024 n:100 
Completed computation for 334 (mu,gamma):(0.74, 0.05) model:Roofline P:1024 n:300 
Completed computation for 335 (mu,gamma):(0.74, 0.05) model:Roofline P:512 n:900 
Completed computation for 336 (mu,gamma):(0.74, 0.05) model:Roofline P:256 n:100 
Completed computation for 337 (mu,gamma):(0.74, 0.05) model:Roofline P:128 n:700 
Completed computation for 338 (mu,gamma):(0.74, 0.05) model:Roofline P:128 n:1000 
Completed computation for 339 (mu,gamma):(0.74, 0.05) model:Roofline P:2048 n:700 
Completed computation for 340 (mu,gamma):(0.74, 0.05) model:Roofline P:2048 n:800 
Completed computation for 341 (mu,gamma):(0.74, 0.05) model:Roofline P:8192 n:1000 
Completed computation for 342 (mu,gamma):(0.74, 0.05) model:Roofline P:2048 n:700 
Completed computation for 343 (mu,gamma):(0.74, 0.05) model:Roofline P:256 n:1000 
Completed computation for 344 (mu,gamma):(0.74, 0.05) model:Roofline P:4096 n:700 
Completed computation for 345 (mu,gamma):(0.74, 0.05) model:Roofline P:128 n:200 
Completed computation for 346 (mu,gamma):(0.74, 0.05) model:Roofline P:8192 n:800 
Completed computation for 347 (mu,gamma):(0.74, 0.05) model:Roofline P:2048 n:1000 
Completed computation for 348 (mu,gamma):(0.74, 0.05) model:Roofline P:1024 n:700 
Completed computation for 349 (mu,gamma):(0.74, 0.05) model:Roofline P:512 n:900 
Completed computation for 350 (mu,gamma):(0.74, 0.05) model:Roofline P:128 n:300 
Completed computation for 351 (mu,gamma):(0.74, 0.05) model:Roofline P:4096 n:900 
Completed computation for 352 (mu,gamma):(0.74, 0.05) model:Roofline P:4096 n:200 
Completed computation for 353 (mu,gamma):(0.74, 0.05) model:Roofline P:256 n:900 
Completed computation for 354 (mu,gamma):(0.74, 0.05) model:Roofline P:1024 n:500 
Completed computation for 355 (mu,gamma):(0.74, 0.05) model:Roofline P:256 n:900 
Completed computation for 356 (mu,gamma):(0.74, 0.05) model:Roofline P:1024 n:700 
Completed computation for 357 (mu,gamma):(0.74, 0.05) model:Roofline P:128 n:700 
Completed computation for 358 (mu,gamma):(0.74, 0.05) model:Roofline P:1024 n:900 
Completed computation for 359 (mu,gamma):(0.74, 0.05) model:Roofline P:256 n:300 
Completed computation for 360 (mu,gamma):(0.74, 0.05) model:Roofline P:1024 n:700 
Completed computation for 361 (mu,gamma):(0.74, 0.05) model:Roofline P:1024 n:800 
Completed computation for 362 (mu,gamma):(0.74, 0.05) model:Roofline P:256 n:300 
Completed computation for 363 (mu,gamma):(0.74, 0.05) model:Roofline P:1024 n:800 
Completed computation for 364 (mu,gamma):(0.74, 0.05) model:Roofline P:2048 n:700 
Completed computation for 365 (mu,gamma):(0.74, 0.05) model:Roofline P:1024 n:200 
Completed computation for 366 (mu,gamma):(0.74, 0.05) model:Roofline P:8192 n:900 
Completed computation for 367 (mu,gamma):(0.74, 0.05) model:Roofline P:256 n:300 
Completed computation for 368 (mu,gamma):(0.74, 0.05) model:Roofline P:512 n:100 
Completed computation for 369 (mu,gamma):(0.74, 0.05) model:Roofline P:2048 n:700 
Completed computation for 370 (mu,gamma):(0.74, 0.05) model:Roofline P:1024 n:800 
Completed computation for 371 (mu,gamma):(0.74, 0.05) model:Roofline P:128 n:700 
Completed computation for 372 (mu,gamma):(0.74, 0.05) model:Roofline P:128 n:100 
Completed computation for 373 (mu,gamma):(0.74, 0.05) model:Roofline P:1024 n:900 
Completed computation for 374 (mu,gamma):(0.74, 0.05) model:Roofline P:2048 n:300 
Completed computation for 375 (mu,gamma):(0.74, 0.05) model:Roofline P:2048 n:900 
Completed computation for 376 (mu,gamma):(0.74, 0.05) model:Roofline P:512 n:800 
Completed computation for 377 (mu,gamma):(0.74, 0.05) model:Roofline P:512 n:400 
Completed computation for 378 (mu,gamma):(0.74, 0.05) model:Roofline P:1024 n:500 
Completed computation for 379 (mu,gamma):(0.74, 0.05) model:Roofline P:2048 n:400 
Completed computation for 380 (mu,gamma):(0.74, 0.05) model:Roofline P:512 n:800 
Completed computation for 381 (mu,gamma):(0.74, 0.05) model:Roofline P:2048 n:300 
Completed computation for 382 (mu,gamma):(0.74, 0.05) model:Roofline P:512 n:400 
Completed computation for 383 (mu,gamma):(0.74, 0.05) model:Roofline P:1024 n:1000 
Completed computation for 384 (mu,gamma):(0.74, 0.05) model:Roofline P:1024 n:700 
Completed computation for 385 (mu,gamma):(0.74, 0.05) model:Roofline P:2048 n:200 
Completed computation for 386 (mu,gamma):(0.74, 0.05) model:Roofline P:128 n:600 
Completed computation for 387 (mu,gamma):(0.74, 0.05) model:Roofline P:256 n:200 
Completed computation for 388 (mu,gamma):(0.74, 0.05) model:Roofline P:256 n:300 
Completed computation for 389 (mu,gamma):(0.74, 0.05) model:Roofline P:8192 n:400 
Completed computation for 390 (mu,gamma):(0.74, 0.05) model:Roofline P:2048 n:900 
Completed computation for 391 (mu,gamma):(0.74, 0.05) model:Roofline P:2048 n:800 
Completed computation for 392 (mu,gamma):(0.74, 0.05) model:Roofline P:8192 n:1000 
Completed computation for 393 (mu,gamma):(0.74, 0.05) model:Roofline P:4096 n:100 
Completed computation for 394 (mu,gamma):(0.74, 0.05) model:Roofline P:128 n:800 
Completed computation for 395 (mu,gamma):(0.74, 0.05) model:Roofline P:256 n:400 
Completed computation for 396 (mu,gamma):(0.74, 0.05) model:Roofline P:256 n:500 
Completed computation for 397 (mu,gamma):(0.74, 0.05) model:Roofline P:8192 n:300 
Completed computation for 398 (mu,gamma):(0.74, 0.05) model:Roofline P:8192 n:300 
Completed computation for 399 (mu,gamma):(0.74, 0.05) model:Roofline P:4096 n:800 
Completed computation for 400 (mu,gamma):(0.74, 0.05) model:Roofline P:256 n:400 
Completed computation for 401 (mu,gamma):(0.74, 0.05) model:Roofline P:8192 n:900 
Completed computation for 402 (mu,gamma):(0.74, 0.05) model:Roofline P:128 n:300 
Completed computation for 403 (mu,gamma):(0.74, 0.05) model:Roofline P:1024 n:500 
Completed computation for 404 (mu,gamma):(0.74, 0.05) model:Roofline P:256 n:200 
Completed computation for 405 (mu,gamma):(0.74, 0.05) model:Roofline P:1024 n:200 
Completed computation for 406 (mu,gamma):(0.74, 0.05) model:Roofline P:128 n:200 
Completed computation for 407 (mu,gamma):(0.74, 0.05) model:Roofline P:8192 n:400 
Completed computation for 408 (mu,gamma):(0.74, 0.05) model:Roofline P:512 n:600 
Completed computation for 409 (mu,gamma):(0.74, 0.05) model:Roofline P:2048 n:900 
Completed computation for 410 (mu,gamma):(0.74, 0.05) model:Roofline P:2048 n:900 
Completed computation for 411 (mu,gamma):(0.74, 0.05) model:Roofline P:1024 n:500 
Completed computation for 412 (mu,gamma):(0.74, 0.05) model:Roofline P:256 n:1000 
Completed computation for 413 (mu,gamma):(0.74, 0.05) model:Roofline P:256 n:600 
Completed computation for 414 (mu,gamma):(0.74, 0.05) model:Roofline P:8192 n:600 
Completed computation for 415 (mu,gamma):(0.74, 0.05) model:Roofline P:8192 n:700 
Completed computation for 416 (mu,gamma):(0.74, 0.05) model:Roofline P:512 n:200 
Completed computation for 417 (mu,gamma):(0.74, 0.05) model:Roofline P:128 n:300 
Completed computation for 418 (mu,gamma):(0.74, 0.05) model:Roofline P:256 n:800 
Completed computation for 419 (mu,gamma):(0.74, 0.05) model:Roofline P:2048 n:700 
Completed computation for 420 (mu,gamma):(0.74, 0.05) model:Roofline P:1024 n:700 
Completed computation for 421 (mu,gamma):(0.74, 0.05) model:Roofline P:8192 n:300 
Completed computation for 422 (mu,gamma):(0.74, 0.05) model:Roofline P:2048 n:1000 
Completed computation for 423 (mu,gamma):(0.74, 0.05) model:Roofline P:512 n:700 
Completed computation for 424 (mu,gamma):(0.74, 0.05) model:Roofline P:8192 n:800 
Completed computation for 425 (mu,gamma):(0.74, 0.05) model:Roofline P:512 n:800 
Completed computation for 426 (mu,gamma):(0.74, 0.05) model:Roofline P:1024 n:600 
Completed computation for 427 (mu,gamma):(0.74, 0.05) model:Roofline P:256 n:200 
Completed computation for 428 (mu,gamma):(0.74, 0.05) model:Roofline P:8192 n:700 
Completed computation for 429 (mu,gamma):(0.74, 0.05) model:Roofline P:256 n:800 
Completed computation for 430 (mu,gamma):(0.74, 0.05) model:Roofline P:1024 n:100 
Completed computation for 431 (mu,gamma):(0.74, 0.05) model:Roofline P:1024 n:300 
Completed computation for 432 (mu,gamma):(0.74, 0.05) model:Roofline P:8192 n:800 
Completed computation for 433 (mu,gamma):(0.74, 0.05) model:Roofline P:4096 n:200 
Completed computation for 434 (mu,gamma):(0.74, 0.05) model:Roofline P:2048 n:700 
Completed computation for 435 (mu,gamma):(0.74, 0.05) model:Roofline P:1024 n:200 
Completed computation for 436 (mu,gamma):(0.74, 0.05) model:Roofline P:128 n:600 
Completed computation for 437 (mu,gamma):(0.74, 0.05) model:Roofline P:512 n:600 
Completed computation for 438 (mu,gamma):(0.74, 0.05) model:Roofline P:2048 n:900 
Completed computation for 439 (mu,gamma):(0.74, 0.05) model:Roofline P:512 n:900 
Completed computation for 440 (mu,gamma):(0.74, 0.05) model:Roofline P:8192 n:1000 
Completed computation for 441 (mu,gamma):(0.74, 0.05) model:Roofline P:256 n:300 
Completed computation for 442 (mu,gamma):(0.74, 0.05) model:Roofline P:512 n:400 
Completed computation for 443 (mu,gamma):(0.74, 0.05) model:Roofline P:8192 n:800 
Completed computation for 444 (mu,gamma):(0.74, 0.05) model:Roofline P:128 n:800 
Completed computation for 445 (mu,gamma):(0.74, 0.05) model:Roofline P:128 n:100 
Completed computation for 446 (mu,gamma):(0.74, 0.05) model:Roofline P:4096 n:1000 
Completed computation for 447 (mu,gamma):(0.74, 0.05) model:Roofline P:512 n:300 
Completed computation for 448 (mu,gamma):(0.74, 0.05) model:Roofline P:4096 n:500 
Completed computation for 449 (mu,gamma):(0.74, 0.05) model:Roofline P:512 n:1000 
Completed computation for 450 (mu,gamma):(0.74, 0.05) model:Roofline P:4096 n:400 
Completed computation for 451 (mu,gamma):(0.74, 0.05) model:Roofline P:512 n:200 
Completed computation for 452 (mu,gamma):(0.74, 0.05) model:Roofline P:4096 n:600 
Completed computation for 453 (mu,gamma):(0.74, 0.05) model:Roofline P:2048 n:900 
Completed computation for 454 (mu,gamma):(0.74, 0.05) model:Roofline P:4096 n:700 
Completed computation for 455 (mu,gamma):(0.74, 0.05) model:Roofline P:256 n:400 
Completed computation for 456 (mu,gamma):(0.74, 0.05) model:Roofline P:2048 n:400 
Completed computation for 457 (mu,gamma):(0.74, 0.05) model:Roofline P:2048 n:100 
Completed computation for 458 (mu,gamma):(0.74, 0.05) model:Roofline P:128 n:1000 
Completed computation for 459 (mu,gamma):(0.74, 0.05) model:Roofline P:256 n:600 
Completed computation for 460 (mu,gamma):(0.74, 0.05) model:Roofline P:2048 n:500 
Completed computation for 461 (mu,gamma):(0.74, 0.05) model:Roofline P:512 n:400 
Completed computation for 462 (mu,gamma):(0.74, 0.05) model:Roofline P:1024 n:1000 
Completed computation for 463 (mu,gamma):(0.74, 0.05) model:Roofline P:4096 n:800 
Completed computation for 464 (mu,gamma):(0.74, 0.05) model:Roofline P:4096 n:300 
Completed computation for 465 (mu,gamma):(0.74, 0.05) model:Roofline P:2048 n:300 
Completed computation for 466 (mu,gamma):(0.74, 0.05) model:Roofline P:512 n:400 
Completed computation for 467 (mu,gamma):(0.74, 0.05) model:Roofline P:256 n:200 
Completed computation for 468 (mu,gamma):(0.74, 0.05) model:Roofline P:8192 n:400 
Completed computation for 469 (mu,gamma):(0.74, 0.05) model:Roofline P:4096 n:1000 
Completed computation for 470 (mu,gamma):(0.74, 0.05) model:Roofline P:512 n:100 
Completed computation for 471 (mu,gamma):(0.74, 0.05) model:Roofline P:4096 n:200 
Completed computation for 472 (mu,gamma):(0.74, 0.05) model:Roofline P:512 n:200 
Completed computation for 473 (mu,gamma):(0.74, 0.05) model:Roofline P:512 n:1000 
Completed computation for 474 (mu,gamma):(0.74, 0.05) model:Roofline P:8192 n:500 
Completed computation for 475 (mu,gamma):(0.74, 0.05) model:Roofline P:128 n:700 
Completed computation for 476 (mu,gamma):(0.74, 0.05) model:Roofline P:8192 n:600 
Completed computation for 477 (mu,gamma):(0.74, 0.05) model:Roofline P:1024 n:800 
Completed computation for 478 (mu,gamma):(0.74, 0.05) model:Roofline P:1024 n:100 
Completed computation for 479 (mu,gamma):(0.74, 0.05) model:Roofline P:2048 n:1000 
Completed computation for 480 (mu,gamma):(0.74, 0.05) model:Roofline P:1024 n:300 
Completed computation for 481 (mu,gamma):(0.74, 0.05) model:Roofline P:2048 n:300 
Completed computation for 482 (mu,gamma):(0.74, 0.05) model:Roofline P:8192 n:400 
Completed computation for 483 (mu,gamma):(0.74, 0.05) model:Roofline P:256 n:500 
Completed computation for 484 (mu,gamma):(0.74, 0.05) model:Roofline P:128 n:200 
Completed computation for 485 (mu,gamma):(0.74, 0.05) model:Roofline P:1024 n:500 
Completed computation for 486 (mu,gamma):(0.74, 0.05) model:Roofline P:256 n:600 
Completed computation for 487 (mu,gamma):(0.74, 0.05) model:Roofline P:4096 n:400 
Completed computation for 488 (mu,gamma):(0.74, 0.05) model:Roofline P:128 n:500 
Completed computation for 489 (mu,gamma):(0.74, 0.05) model:Roofline P:256 n:100 
Completed computation for 490 (mu,gamma):(0.74, 0.05) model:Roofline P:256 n:200 
Completed computation for 491 (mu,gamma):(0.74, 0.05) model:Roofline P:8192 n:900 
Completed computation for 492 (mu,gamma):(0.74, 0.05) model:Roofline P:256 n:500 
Completed computation for 493 (mu,gamma):(0.74, 0.05) model:Roofline P:4096 n:900 
Completed computation for 494 (mu,gamma):(0.74, 0.05) model:Roofline P:1024 n:1000 
Completed computation for 495 (mu,gamma):(0.74, 0.05) model:Roofline P:2048 n:600 
Completed computation for 496 (mu,gamma):(0.74, 0.05) model:Roofline P:1024 n:900 
Completed computation for 497 (mu,gamma):(0.74, 0.05) model:Roofline P:1024 n:400 
Completed computation for 498 (mu,gamma):(0.74, 0.05) model:Roofline P:128 n:200 
Completed computation for 499 (mu,gamma):(0.74, 0.05) model:Roofline P:2048 n:400 
Completed computation for 500 (mu,gamma):(0.74, 0.05) model:Roofline P:2048 n:800 
Completed computation for 501 (mu,gamma):(0.74, 0.05) model:Roofline P:128 n:900 
Completed computation for 502 (mu,gamma):(0.74, 0.05) model:Roofline P:8192 n:600 
Completed computation for 503 (mu,gamma):(0.74, 0.05) model:Roofline P:128 n:700 
Completed computation for 504 (mu,gamma):(0.74, 0.05) model:Roofline P:1024 n:600 
Completed computation for 505 (mu,gamma):(0.74, 0.05) model:Roofline P:2048 n:300 
Completed computation for 506 (mu,gamma):(0.74, 0.05) model:Roofline P:8192 n:900 
Completed computation for 507 (mu,gamma):(0.74, 0.05) model:Roofline P:4096 n:900 
Completed computation for 508 (mu,gamma):(0.74, 0.05) model:Roofline P:4096 n:800 
Completed computation for 509 (mu,gamma):(0.74, 0.05) model:Roofline P:128 n:700 
Completed computation for 510 (mu,gamma):(0.74, 0.05) model:Roofline P:128 n:400 
Completed computation for 511 (mu,gamma):(0.74, 0.05) model:Roofline P:2048 n:200 
Completed computation for 512 (mu,gamma):(0.74, 0.05) model:Roofline P:1024 n:600 
Completed computation for 513 (mu,gamma):(0.74, 0.05) model:Roofline P:128 n:300 
Completed computation for 514 (mu,gamma):(0.74, 0.05) model:Roofline P:128 n:900 
Completed computation for 515 (mu,gamma):(0.74, 0.05) model:Roofline P:1024 n:600 
Completed computation for 516 (mu,gamma):(0.74, 0.05) model:Roofline P:256 n:300 
Completed computation for 517 (mu,gamma):(0.74, 0.05) model:Roofline P:4096 n:200 
Completed computation for 518 (mu,gamma):(0.74, 0.05) model:Roofline P:1024 n:800 
Completed computation for 519 (mu,gamma):(0.74, 0.05) model:Roofline P:4096 n:100 
