P,n,Paper,Min Time,Time opt
100,100,0,2034120.9218265254,2034120.9218265258
100,200,0,4064870.377799044,4064870.377799046
100,300,0,5644482.398728044,5644482.398728038
100,400,0,7634869.965505738,7634869.965505733
100,500,0,10149366.640696028,10149366.640696041
100,600,0,11839483.705788543,11839483.705788543
100,700,0,13659908.568048727,13659908.568048727
100,800,0,15341489.67005207,15341489.670052076
100,900,0,17499412.320735455,17499412.32073547
100,1000,0,20255116.389225468,20255116.389225435
100,100,0,2031035.8595548042,2031035.859554804
100,200,0,4102212.8871195507,4102212.887119553
100,300,0,6091443.512278577,6091443.512278582
100,400,0,7780965.517641311,7780965.517641306
100,500,0,10583817.15484313,10583817.154843133
100,600,0,11934374.80044773,11934374.800447727
100,700,0,13938568.01206755,13938568.012067534
100,800,0,15999419.384377195,15999419.38437721
100,900,0,18217752.376163658,18217752.376163665
100,1000,0,20066569.02772552,20066569.02772551
100,100,0,1896330.2510076254,1896330.2510076254
100,200,0,4085615.3491969584,4085615.34919696
100,300,0,5988020.252397089,5988020.252397093
100,400,0,8090049.002883342,8090049.002883353
100,500,0,9965480.555894462,9965480.555894444
100,600,0,11709212.478106013,11709212.478106003
100,700,0,14387608.67424099,14387608.674240975
100,800,0,16517650.499678623,16517650.499678627
100,900,0,18470974.162336387,18470974.162336387
100,1000,0,19647614.0786382,19647614.078638207
100,100,0,1870094.6913767632,1870094.6913767639
100,200,0,3867917.8208474503,3867917.8208474517
100,300,0,6054545.994092191,6054545.994092189
100,400,0,7824870.401459646,7824870.40145964
100,500,0,9604789.147069322,9604789.147069303
100,600,0,12292381.396596583,12292381.396596577
100,700,0,13842628.615225453,13842628.615225442
